site,name,year,month,day,tmin,tmax,date,working,demand,area_string
PM,Port Melbourne,2015,08,30,7.3,13.1,2015-08-30,Weekend,9.290985352,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,08,31,7.6,12.8,2015-08-31,Weekday,18.57492969,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,08,31,7.6,12.8,2015-08-31,Weekday,25.58351758,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,08,31,7.6,12.8,2015-08-31,Weekday,13.27128809,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,01,2.9,16.1,2015-09-01,Weekday,16.80781836,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,01,2.9,16.1,2015-09-01,Weekday,22.61810352,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,01,2.9,16.1,2015-09-01,Weekday,13.07673633,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,02,6,18.2,2015-09-02,Weekday,17.72005273,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,02,6,18.2,2015-09-02,Weekday,22.74845508,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,02,6,18.2,2015-09-02,Weekday,12.77018066,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,03,9.9,13.8,2015-09-03,Weekday,18.3200625,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,03,9.9,13.8,2015-09-03,Weekday,23.22455078,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,03,9.9,13.8,2015-09-03,Weekday,12.62930176,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,04,5.4,13.9,2015-09-04,Weekday,19.00909766,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,04,5.4,13.9,2015-09-04,Weekday,21.83362695,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,04,5.4,13.9,2015-09-04,Weekday,12.6534707,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,05,9,14.9,2015-09-05,Weekend,16.59294141,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,05,9,14.9,2015-09-05,Weekend,20.69043555,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
