site,name,year,month,day,tmin,tmax,date,working,demand,area_string
NC,Northcote,2015,10,17,10.8,22,2015-10-17,Weekend,13.72826074,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,17,10.8,22,2015-10-17,Weekend,8.177143555,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,18,10.2,21.3,2015-10-18,Weekend,16.55068359,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,18,10.2,21.3,2015-10-18,Weekend,14.75782129,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,18,10.2,21.3,2015-10-18,Weekend,7.313112305,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,19,5.3,28.2,2015-10-19,Weekday,17.81226953,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,19,5.3,28.2,2015-10-19,Weekday,15.53673242,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,19,5.3,28.2,2015-10-19,Weekday,11.41540137,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,20,9.7,31,2015-10-20,Weekday,20.47659961,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,20,9.7,31,2015-10-20,Weekday,17.35591211,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,20,9.7,31,2015-10-20,Weekday,13.02473047,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,21,15.5,18.6,2015-10-21,Weekday,17.22021484,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,21,15.5,18.6,2015-10-21,Weekday,15.90953516,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,21,15.5,18.6,2015-10-21,Weekday,11.76012598,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,22,10.3,17.2,2015-10-22,Weekday,16.82045703,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,22,10.3,17.2,2015-10-22,Weekday,17.67754883,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,22,10.3,17.2,2015-10-22,Weekday,11.6565127,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,23,10.6,18.2,2015-10-23,Weekday,17.09105273,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,23,10.6,18.2,2015-10-23,Weekday,15.5936543,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,23,10.6,18.2,2015-10-23,Weekday,11.61165039,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,24,6.6,23,2015-10-24,Weekend,17.3414082,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,24,6.6,23,2015-10-24,Weekend,13.84546777,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,24,6.6,23,2015-10-24,Weekend,8.517775391,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,25,7.2,30.8,2015-10-25,Weekend,16.19613086,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,25,7.2,30.8,2015-10-25,Weekend,15.81495898,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,25,7.2,30.8,2015-10-25,Weekend,7.982411132999999,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
